dispatching_base_number,date,active_vehicles,trips
B02512,2014-04-29,196,1149
B02512,2014-04-30,230,1246
B02512,2014-05-01,230,1047
B02512,2014-05-02,205,1496
B02512,2014-05-03,202,1571
B02512,2014-05-04,182,1671
B02512,2014-05-05,198,1811
B02598,2014-04-29,154,847
B02598,2014-04-30,164,888
B02598,2014-05-01,173,994
B02598,2014-05-02,171,1047
B02598,2014-05-03,183,1090
B02598,2014-05-04,207,1205
B02598,2014-05-05,216,1300
B02617,2014-04-29,108,538
B02617,2014-04-30,112,598
B02617,2014-05-01,122,629
B02617,2014-05-02,129,660
B02617,2014-05-03,138,725
B02617,2014-05-04,145,726
B02617,2014-05-05,156,823
B02512,2014-05-06,196,1102
B02512,2014-05-07,229,1220
B02512,2014-05-08,227,1021
B02512,2014-05-09,204,1493
B02512,2014-05-10,191,1614
B02512,2014-05-11,177,1721
B02512,2014-05-12,185,1754
B02598,2014-05-06,146,808
B02598,2014-05-07,150,895
B02598,2014-05-08,172,959
B02598,2014-05-09,175,983
B02598,2014-05-10,183,1108
B02598,2014-05-11,199,1225
B02598,2014-05-12,207,1270
B02617,2014-05-06,97,529
B02617,2014-05-07,110,515
B02617,2014-05-08,128,599
B02617,2014-05-09,127,676
B02617,2014-05-10,133,720
B02617,2014-05-11,157,718
B02617,2014-05-12,153,840
B02512,2014-05-13,190,1129
B02512,2014-05-14,224,1245
B02512,2014-05-15,229,984
B02512,2014-05-16,219,1505
B02512,2014-05-17,192,1645
B02512,2014-05-18,183,1694
B02512,2014-05-19,194,1829
B02598,2014-05-13,149,810
B02598,2014-05-14,150,882
B02598,2014-05-15,162,908
B02598,2014-05-16,184,987
B02598,2014-05-17,196,1086
B02598,2014-05-18,196,1223
B02598,2014-05-19,202,1331
B02617,2014-05-13,92,470
B02617,2014-05-14,112,528
B02617,2014-05-15,123,591
B02617,2014-05-16,132,635
B02617,2014-05-17,142,698
B02617,2014-05-18,149,727
B02617,2014-05-19,151,760
B02512,2014-05-20,196,1137
B02512,2014-05-21,219,1245
B02512,2014-05-22,239,980
B02512,2014-05-23,204,1509
B02512,2014-05-24,204,1619
B02512,2014-05-25,171,1735
B02512,2014-05-26,188,1796
B02598,2014-05-20,147,790
B02598,2014-05-21,163,907
B02598,2014-05-22,171,937
B02598,2014-05-23,176,989
B02598,2014-05-24,181,1072
B02598,2014-05-25,204,1219
B02598,2014-05-26,203,1274
B02617,2014-05-20,91,497
B02617,2014-05-21,100,505
B02617,2014-05-22,118,567
B02617,2014-05-23,126,628
B02617,2014-05-24,145,741
B02617,2014-05-25,140,734
B02617,2014-05-26,167,753
B02512,2014-05-27,184,1116
B02512,2014-05-28,221,1226
B02512,2014-05-29,234,983
B02512,2014-05-30,208,1502
B02512,2014-05-31,208,1551
B02512,2014-06-01,178,1671
B02512,2014-06-02,192,1771
B02598,2014-05-27,152,790
B02598,2014-05-28,158,898
B02598,2014-05-29,179,989
B02598,2014-05-30,171,974
B02598,2014-05-31,196,1078
B02598,2014-06-01,196,1234
B02598,2014-06-02,208,1260
B02617,2014-05-27,107,548
B02617,2014-05-28,111,565
B02617,2014-05-29,114,592
B02617,2014-05-30,133,616
B02617,2014-05-31,130,671
B02617,2014-06-01,142,790
B02617,2014-06-02,165,844
B02512,2014-06-03,193,1157
B02512,2014-06-04,232,1265
B02512,2014-06-05,225,967
B02512,2014-06-06,204,1488
B02512,2014-06-07,204,1558
B02512,2014-06-08,186,1720
B02512,2014-06-09,193,1838
B02598,2014-06-03,154,785
B02598,2014-06-04,154,932
B02598,2014-06-05,166,988
B02598,2014-06-06,186,1036
B02598,2014-06-07,196,1130
B02598,2014-06-08,208,1222
B02598,2014-06-09,210,1263
B02617,2014-06-03,101,524
B02617,2014-06-04,114,588
B02617,2014-06-05,115,640
B02617,2014-06-06,121,641
B02617,2014-06-07,148,650
B02617,2014-06-08,152,715
B02617,2014-06-09,159,784
B02512,2014-06-10,195,1108
B02512,2014-06-11,219,1241
B02512,2014-06-12,230,1038
B02512,2014-06-13,207,1514
B02512,2014-06-14,205,1555
B02512,2014-06-15,176,1714
B02512,2014-06-16,183,1826
B02598,2014-06-10,140,760
B02598,2014-06-11,158,904
B02598,2014-06-12,161,941
B02598,2014-06-13,189,980
B02598,2014-06-14,198,1140
B02598,2014-06-15,207,1179
B02598,2014-06-16,213,1301
B02617,2014-06-10,100,489
B02617,2014-06-11,107,580
B02617,2014-06-12,114,648
B02617,2014-06-13,137,661
B02617,2014-06-14,138,654
B02617,2014-06-15,151,747
B02617,2014-06-16,162,842
B02512,2014-06-17,190,1111
B02512,2014-06-18,215,1232
B02512,2014-06-19,235,966
B02512,2014-06-20,210,1484
B02512,2014-06-21,208,1554
B02512,2014-06-22,173,1733
B02512,2014-06-23,182,1784
B02598,2014-06-17,143,843
B02598,2014-06-18,161,932
B02598,2014-06-19,164,993
B02598,2014-06-20,174,965
B02598,2014-06-21,194,1145
B02598,2014-06-22,208,1239
B02598,2014-06-23,200,1337
B02617,2014-06-17,107,460
B02617,2014-06-18,106,520
B02617,2014-06-19,129,577
B02617,2014-06-20,129,680
B02617,2014-06-21,134,658
B02617,2014-06-22,140,780
B02617,2014-06-23,159,773
B02512,2014-06-24,191,1096
B02512,2014-06-25,234,1273
B02512,2014-06-26,238,965
B02512,2014-06-27,215,1461
B02512,2014-06-28,200,1563
B02512,2014-06-29,175,1705
B02512,2014-06-30,199,1772
B02598,2014-06-24,152,788
B02598,2014-06-25,151,911
B02598,2014-06-26,179,954
B02598,2014-06-27,171,998
B02598,2014-06-28,193,1134
B02598,2014-06-29,202,1167
B02598,2014-06-30,201,1254
B02617,2014-06-24,104,486
B02617,2014-06-25,113,578
B02617,2014-06-26,118,615
B02617,2014-06-27,129,699
B02617,2014-06-28,149,698
B02617,2014-06-29,155,738
B02617,2014-06-30,155,753
B02512,2014-07-01,199,1157
B02512,2014-07-02,228,1278
B02512,2014-07-03,228,995
B02512,2014-07-04,211,1538
B02512,2014-07-05,204,1598
B02512,2014-07-06,181,1678
B02512,2014-07-07,194,1767
B02598,2014-07-01,144,823
B02598,2014-07-02,152,903
B02598,2014-07-03,162,989
B02598,2014-07-04,187,1010
B02598,2014-07-05,186,1138
B02598,2014-07-06,200,1233
B02598,2014-07-07,202,1297
B02617,2014-07-01,90,547
B02617,2014-07-02,118,530
B02617,2014-07-03,123,611
B02617,2014-07-04,136,643
B02617,2014-07-05,144,705
B02617,2014-07-06,154,783
B02617,2014-07-07,157,786
B02512,2014-07-08,183,1105
B02512,2014-07-09,217,1276
B02512,2014-07-10,226,1045
B02512,2014-07-11,210,1505
B02512,2014-07-12,200,1588
B02512,2014-07-13,179,1743
B02512,2014-07-14,199,1767
B02598,2014-07-08,140,814
B02598,2014-07-09,163,946
B02598,2014-07-10,160,908
B02598,2014-07-11,189,1036
B02598,2014-07-12,198,1084
B02598,2014-07-13,195,1172
B02598,2014-07-14,213,1272
B02617,2014-07-08,99,457
B02617,2014-07-09,101,512
B02617,2014-07-10,122,578
B02617,2014-07-11,138,619
B02617,2014-07-12,149,659
B02617,2014-07-13,157,728
B02617,2014-07-14,166,798
B02512,2014-07-15,192,1114
B02512,2014-07-16,219,1216
B02512,2014-07-17,231,1044
B02512,2014-07-18,203,1450
B02512,2014-07-19,195,1571
B02512,2014-07-20,186,1699
B02512,2014-07-21,185,1834
B02598,2014-07-15,148,812
B02598,2014-07-16,155,883
B02598,2014-07-17,176,967
B02598,2014-07-18,181,1027
B02598,2014-07-19,191,1134
B02598,2014-07-20,207,1198
B02598,2014-07-21,219,1307
B02617,2014-07-15,108,524
B02617,2014-07-16,110,536
B02617,2014-07-17,113,563
B02617,2014-07-18,136,631
B02617,2014-07-19,136,726
B02617,2014-07-20,149,795
B02617,2014-07-21,164,778
B02512,2014-07-22,181,1166
B02512,2014-07-23,225,1216
B02512,2014-07-24,239,973
B02512,2014-07-25,210,1539
B02512,2014-07-26,200,1558
B02512,2014-07-27,181,1692
B02512,2014-07-28,193,1799
B02598,2014-07-22,144,785
B02598,2014-07-23,155,932
B02598,2014-07-24,166,996
B02598,2014-07-25,176,977
B02598,2014-07-26,181,1073
B02598,2014-07-27,195,1189
B02598,2014-07-28,219,1255
B02617,2014-07-22,101,493
B02617,2014-07-23,105,541
B02617,2014-07-24,116,643
B02617,2014-07-25,133,670
B02617,2014-07-26,135,691
B02617,2014-07-27,149,797
B02617,2014-07-28,155,790
B02512,2014-07-29,192,1179
B02512,2014-07-30,229,1188
B02512,2014-07-31,221,951
B02512,2014-08-01,203,1546
B02512,2014-08-02,206,1634
B02512,2014-08-03,171,1667
B02512,2014-08-04,185,1834
B02598,2014-07-29,149,804
B02598,2014-07-30,167,947
B02598,2014-07-31,179,943
B02598,2014-08-01,182,1006
B02598,2014-08-02,189,1119
B02598,2014-08-03,200,1155
B02598,2014-08-04,210,1323
B02617,2014-07-29,101,451
B02617,2014-07-30,114,515
B02617,2014-07-31,115,620
B02617,2014-08-01,126,638
B02617,2014-08-02,146,725
B02617,2014-08-03,143,761
B02617,2014-08-04,156,779
B02512,2014-08-05,180,1090
B02512,2014-08-06,234,1250
B02512,2014-08-07,223,1001
B02512,2014-08-08,212,1536
B02512,2014-08-09,200,1611
B02512,2014-08-10,183,1676
B02512,2014-08-11,188,1754
B02598,2014-08-05,146,791
B02598,2014-08-06,162,931
B02598,2014-08-07,165,940
B02598,2014-08-08,171,962
B02598,2014-08-09,191,1146
B02598,2014-08-10,204,1175
B02598,2014-08-11,203,1344
B02617,2014-08-05,102,510
B02617,2014-08-06,115,549
B02617,2014-08-07,127,632
B02617,2014-08-08,133,607
B02617,2014-08-09,139,741
B02617,2014-08-10,158,732
B02617,2014-08-11,158,787
B02512,2014-08-12,187,1091
B02512,2014-08-13,225,1261
B02512,2014-08-14,239,1025
B02512,2014-08-15,207,1516
B02512,2014-08-16,197,1639
B02512,2014-08-17,180,1708
B02512,2014-08-18,185,1783
B02598,2014-08-12,159,813
B02598,2014-08-13,150,903
B02598,2014-08-14,174,929
B02598,2014-08-15,185,981
B02598,2014-08-16,184,1090
B02598,2014-08-17,206,1227
B02598,2014-08-18,202,1266
B02617,2014-08-12,107,484
B02617,2014-08-13,110,524
B02617,2014-08-14,117,577
B02617,2014-08-15,136,690
B02617,2014-08-16,149,666
B02617,2014-08-17,155,748
B02617,2014-08-18,160,755
B02512,2014-08-19,185,1153
B02512,2014-08-20,227,1272
B02512,2014-08-21,236,962
B02512,2014-08-22,219,1536
B02512,2014-08-23,202,1612
B02512,2014-08-24,186,1667
B02512,2014-08-25,180,1839
B02598,2014-08-19,143,816
B02598,2014-08-20,162,899
B02598,2014-08-21,175,905
B02598,2014-08-22,179,999
B02598,2014-08-23,193,1107
B02598,2014-08-24,204,1237
B02598,2014-08-25,216,1318
B02617,2014-08-19,109,499
B02617,2014-08-20,110,529
B02617,2014-08-21,111,570
B02617,2014-08-22,124,699
B02617,2014-08-23,141,710
B02617,2014-08-24,143,772
B02617,2014-08-25,151,755
B02512,2014-08-26,196,1115
B02512,2014-08-27,225,1248
B02512,2014-08-28,231,1002
B02512,2014-08-29,211,1519
B02512,2014-08-30,205,1573
B02512,2014-08-31,181,1697
B02512,2014-09-01,198,1817
B02598,2014-08-26,159,752
B02598,2014-08-27,151,894
B02598,2014-08-28,176,936
B02598,2014-08-29,172,1042
B02598,2014-08-30,193,1061
B02598,2014-08-31,196,1186
B02598,2014-09-01,202,1325
B02617,2014-08-26,106,545
B02617,2014-08-27,108,525
B02617,2014-08-28,114,649
B02617,2014-08-29,122,666
B02617,2014-08-30,144,663
B02617,2014-08-31,149,759
B02617,2014-09-01,168,848
B02512,2014-09-02,194,1102
B02512,2014-09-03,224,1276
B02512,2014-09-04,237,964
B02512,2014-09-05,218,1481
B02512,2014-09-06,191,1613
B02512,2014-09-07,171,1650
B02512,2014-09-08,191,1813
B02598,2014-09-02,155,796
B02598,2014-09-03,167,933
B02598,2014-09-04,169,939
B02598,2014-09-05,173,1002
B02598,2014-09-06,196,1053
B02598,2014-09-07,190,1167
B02598,2014-09-08,201,1336
B02617,2014-09-02,101,543
B02617,2014-09-03,111,594
B02617,2014-09-04,122,597
B02617,2014-09-05,128,624
B02617,2014-09-06,132,728
B02617,2014-09-07,144,739
B02617,2014-09-08,161,824
B02512,2014-09-09,185,1114
B02512,2014-09-10,221,1215
B02512,2014-09-11,232,1002
B02512,2014-09-12,217,1466
B02512,2014-09-13,195,1648
B02512,2014-09-14,180,1651
B02512,2014-09-15,198,1848
B02598,2014-09-09,148,836
B02598,2014-09-10,168,871
B02598,2014-09-11,170,900
B02598,2014-09-12,171,1045
B02598,2014-09-13,193,1075
B02598,2014-09-14,199,1233
B02598,2014-09-15,211,1290
B02617,2014-09-09,99,466
B02617,2014-09-10,102,519
B02617,2014-09-11,123,581
B02617,2014-09-12,135,644
B02617,2014-09-13,143,715
B02617,2014-09-14,141,765
B02617,2014-09-15,157,835
B02512,2014-09-16,195,1181
B02512,2014-09-17,233,1206
B02512,2014-09-18,224,1001
B02512,2014-09-19,208,1491
B02512,2014-09-20,199,1577
B02512,2014-09-21,170,1738
B02512,2014-09-22,198,1819
B02598,2014-09-16,141,823
B02598,2014-09-17,163,853
B02598,2014-09-18,164,912
B02598,2014-09-19,184,1018
B02598,2014-09-20,182,1133
B02598,2014-09-21,205,1212
B02598,2014-09-22,219,1313
B02617,2014-09-16,93,477
B02617,2014-09-17,109,555
B02617,2014-09-18,117,569
B02617,2014-09-19,139,602
B02617,2014-09-20,143,709
B02617,2014-09-21,140,740
B02617,2014-09-22,158,812
B02512,2014-09-23,187,1169
B02512,2014-09-24,221,1277
B02512,2014-09-25,232,1047
B02512,2014-09-26,201,1541
B02512,2014-09-27,208,1598
B02512,2014-09-28,170,1653
B02512,2014-09-29,184,1779
B02598,2014-09-23,144,792
B02598,2014-09-24,162,935
B02598,2014-09-25,166,986
B02598,2014-09-26,174,1005
B02598,2014-09-27,195,1070
B02598,2014-09-28,203,1170
B02598,2014-09-29,218,1251
B02617,2014-09-23,107,522
B02617,2014-09-24,100,574
B02617,2014-09-25,126,627
B02617,2014-09-26,128,636
B02617,2014-09-27,133,702
B02617,2014-09-28,147,796
B02617,2014-09-29,160,805
B02512,2014-09-30,185,1134
B02512,2014-10-01,215,1260
B02512,2014-10-02,226,1042
B02512,2014-10-03,202,1549
B02512,2014-10-04,190,1612
B02512,2014-10-05,188,1674
B02512,2014-10-06,185,1782
B02598,2014-09-30,150,809
B02598,2014-10-01,166,862
B02598,2014-10-02,169,902
B02598,2014-10-03,188,1003
B02598,2014-10-04,183,1130
B02598,2014-10-05,202,1168
B02598,2014-10-06,207,1284
B02617,2014-09-30,96,452
B02617,2014-10-01,111,593
B02617,2014-10-02,112,576
B02617,2014-10-03,133,695
B02617,2014-10-04,136,708
B02617,2014-10-05,142,745
B02617,2014-10-06,169,784
B02512,2014-10-07,186,1092
B02512,2014-10-08,217,1227
B02512,2014-10-09,220,1019
B02512,2014-10-10,209,1503
B02512,2014-10-11,202,1619
B02512,2014-10-12,176,1744
B02512,2014-10-13,184,1765
B02598,2014-10-07,149,824
B02598,2014-10-08,151,885
B02598,2014-10-09,172,912
B02598,2014-10-10,172,950
B02598,2014-10-11,182,1105
B02598,2014-10-12,209,1208
B02598,2014-10-13,217,1277
B02617,2014-10-07,94,483
B02617,2014-10-08,108,594
B02617,2014-10-09,113,626
B02617,2014-10-10,139,681
B02617,2014-10-11,140,706
B02617,2014-10-12,151,727
B02617,2014-10-13,166,805
B02512,2014-10-14,195,1163
B02512,2014-10-15,217,1266
B02512,2014-10-16,237,1027
B02512,2014-10-17,203,1528
B02512,2014-10-18,203,1608
B02512,2014-10-19,184,1719
B02512,2014-10-20,197,1840
B02598,2014-10-14,153,769
B02598,2014-10-15,151,852
B02598,2014-10-16,164,972
B02598,2014-10-17,186,1042
B02598,2014-10-18,192,1127
B02598,2014-10-19,193,1188
B02598,2014-10-20,200,1348
B02617,2014-10-14,104,538
B02617,2014-10-15,118,578
B02617,2014-10-16,129,642
B02617,2014-10-17,122,601
B02617,2014-10-18,142,707
B02617,2014-10-19,143,758
B02617,2014-10-20,161,813
B02512,2014-10-21,192,1119
B02512,2014-10-22,229,1263
B02512,2014-10-23,238,982
B02512,2014-10-24,208,1531
B02512,2014-10-25,207,1566
B02512,2014-10-26,188,1749
B02512,2014-10-27,183,1831
B02598,2014-10-21,147,750
B02598,2014-10-22,151,854
B02598,2014-10-23,160,903
B02598,2014-10-24,176,951
B02598,2014-10-25,197,1112
B02598,2014-10-26,205,1198
B02598,2014-10-27,200,1349
B02617,2014-10-21,102,465
B02617,2014-10-22,119,532
B02617,2014-10-23,110,582
B02617,2014-10-24,137,618
B02617,2014-10-25,146,687
B02617,2014-10-26,155,737
B02617,2014-10-27,150,805
B02512,2014-10-28,199,1137
B02512,2014-10-29,218,1224
B02512,2014-10-30,233,952
B02512,2014-10-31,212,1491
B02512,2014-11-01,209,1616
B02512,2014-11-02,170,1710
B02512,2014-11-03,199,1832
B02598,2014-10-28,159,813
B02598,2014-10-29,166,905
B02598,2014-10-30,163,977
B02598,2014-10-31,177,1048
B02598,2014-11-01,199,1055
B02598,2014-11-02,191,1199
B02598,2014-11-03,208,1295
B02617,2014-10-28,99,507
B02617,2014-10-29,113,517
B02617,2014-10-30,118,604
B02617,2014-10-31,122,656
B02617,2014-11-01,131,712
B02617,2014-11-02,142,750
B02617,2014-11-03,160,757
B02512,2014-11-04,187,1164
B02512,2014-11-05,215,1196
B02512,2014-11-06,229,1040
B02512,2014-11-07,202,1459
B02512,2014-11-08,201,1585
B02512,2014-11-09,171,1748
B02512,2014-11-10,196,1826
B02598,2014-11-04,153,848
B02598,2014-11-05,165,944
B02598,2014-11-06,168,969
B02598,2014-11-07,187,1031
B02598,2014-11-08,196,1138
B02598,2014-11-09,203,1179
B02598,2014-11-10,201,1284
B02617,2014-11-04,98,486
B02617,2014-11-05,103,566
B02617,2014-11-06,121,634
B02617,2014-11-07,123,617
B02617,2014-11-08,146,744
B02617,2014-11-09,156,737
B02617,2014-11-10,169,763
B02512,2014-11-11,183,1174
B02512,2014-11-12,230,1241
B02512,2014-11-13,239,961
B02512,2014-11-14,214,1465
B02512,2014-11-15,192,1563
B02512,2014-11-16,185,1730
B02512,2014-11-17,196,1829
B02598,2014-11-11,149,760
B02598,2014-11-12,162,946
B02598,2014-11-13,163,950
B02598,2014-11-14,175,1030
B02598,2014-11-15,180,1059
B02598,2014-11-16,201,1186
B02598,2014-11-17,204,1283
B02617,2014-11-11,108,493
B02617,2014-11-12,117,555
B02617,2014-11-13,110,586
B02617,2014-11-14,125,632
B02617,2014-11-15,132,718
B02617,2014-11-16,155,714
B02617,2014-11-17,157,798
B02512,2014-11-18,192,1139
B02512,2014-11-19,231,1274
B02512,2014-11-20,225,994
B02512,2014-11-21,213,1473
B02512,2014-11-22,193,1647
B02512,2014-11-23,170,1654
B02512,2014-11-24,183,1843
B02598,2014-11-18,145,845
B02598,2014-11-19,164,890
B02598,2014-11-20,174,902
B02598,2014-11-21,174,951
B02598,2014-11-22,192,1072
B02598,2014-11-23,199,1155
B02598,2014-11-24,219,1268
B02617,2014-11-18,95,486
B02617,2014-11-19,119,568
B02617,2014-11-20,114,646
B02617,2014-11-21,130,632
B02617,2014-11-22,130,677
B02617,2014-11-23,159,734
B02617,2014-11-24,162,776
B02512,2014-11-25,181,1111
B02512,2014-11-26,220,1225
B02512,2014-11-27,232,1015
B02512,2014-11-28,215,1491
B02512,2014-11-29,192,1645
B02512,2014-11-30,182,1707
B02512,2014-12-01,182,1848
B02598,2014-11-25,140,797
B02598,2014-11-26,150,947
B02598,2014-11-27,170,940
B02598,2014-11-28,173,980
B02598,2014-11-29,195,1055
B02598,2014-11-30,204,1161
B02598,2014-12-01,208,1314
B02617,2014-11-25,91,526
B02617,2014-11-26,101,560
B02617,2014-11-27,128,595
B02617,2014-11-28,134,661
B02617,2014-11-29,131,694
B02617,2014-11-30,143,701
B02617,2014-12-01,151,799
B02512,2014-12-02,183,1088
B02512,2014-12-03,219,1197
B02512,2014-12-04,227,1007
B02512,2014-12-05,202,1489
B02512,2014-12-06,206,1602
B02512,2014-12-07,188,1712
B02512,2014-12-08,183,1823
B02598,2014-12-02,154,806
B02598,2014-12-03,167,887
B02598,2014-12-04,170,922
B02598,2014-12-05,185,962
B02598,2014-12-06,190,1133
B02598,2014-12-07,198,1176
B02598,2014-12-08,209,1292
B02617,2014-12-02,108,471
B02617,2014-12-03,116,554
B02617,2014-12-04,129,578
B02617,2014-12-05,122,654
B02617,2014-12-06,140,710
B02617,2014-12-07,156,780
B02617,2014-12-08,165,818
B02512,2014-12-09,190,1156
B02512,2014-12-10,218,1220
B02512,2014-12-11,222,1024
B02512,2014-12-12,206,1489
B02512,2014-12-13,192,1569
B02512,2014-12-14,182,1655
B02512,2014-12-15,191,1779
B02598,2014-12-09,150,781
B02598,2014-12-10,165,850
B02598,2014-12-11,176,982
B02598,2014-12-12,175,1013
B02598,2014-12-13,192,1051
B02598,2014-12-14,205,1185
B02598,2014-12-15,206,1330
B02617,2014-12-09,107,489
B02617,2014-12-10,119,585
B02617,2014-12-11,119,562
B02617,2014-12-12,121,666
B02617,2014-12-13,140,697
B02617,2014-12-14,152,729
B02617,2014-12-15,152,787
B02512,2014-12-16,184,1101
B02512,2014-12-17,226,1240
B02512,2014-12-18,234,1001
B02512,2014-12-19,217,1499
B02512,2014-12-20,205,1621
B02512,2014-12-21,180,1689
B02512,2014-12-22,194,1750
B02598,2014-12-16,147,800
B02598,2014-12-17,153,878
B02598,2014-12-18,166,975
B02598,2014-12-19,188,981
B02598,2014-12-20,182,1089
B02598,2014-12-21,208,1173
B02598,2014-12-22,212,1312
B02617,2014-12-16,107,506
B02617,2014-12-17,102,579
B02617,2014-12-18,113,593
B02617,2014-12-19,126,634
B02617,2014-12-20,137,723
B02617,2014-12-21,143,704
B02617,2014-12-22,162,755
B02512,2014-12-23,188,1167
B02512,2014-12-24,220,1268
B02512,2014-12-25,227,1031
B02512,2014-12-26,200,1512
B02512,2014-12-27,207,1572
B02512,2014-12-28,173,1664
B02512,2014-12-29,189,1828
B02598,2014-12-23,148,804
B02598,2014-12-24,155,917
B02598,2014-12-25,161,941
B02598,2014-12-26,175,1028
B02598,2014-12-27,194,1144
B02598,2014-12-28,207,1164
B02598,2014-12-29,210,1300
B02617,2014-12-23,96,461
B02617,2014-12-24,110,544
B02617,2014-12-25,125,646
B02617,2014-12-26,131,623
B02617,2014-12-27,147,676
B02617,2014-12-28,153,769
B02617,2014-12-29,155,761
B02512,2014-12-30,198,1100
B02512,2014-12-31,234,1208
B02512,2015-01-01,239,1037
B02512,2015-01-02,208,1488
B02512,2015-01-03,204,1557
B02512,2015-01-04,180,1706
B02512,2015-01-05,188,1760
B02598,2014-12-30,143,784
B02598,2014-12-31,153,884
B02598,2015-01-01,170,960
B02598,2015-01-02,188,1007
B02598,2015-01-03,185,1146
B02598,2015-01-04,200,1246
B02598,2015-01-05,200,1313
B02617,2014-12-30,104,506
B02617,2014-12-31,118,582
B02617,2015-01-01,112,556
B02617,2015-01-02,120,653
B02617,2015-01-03,143,733
B02617,2015-01-04,148,714
B02617,2015-01-05,162,762
B02512,2015-01-06,181,1160
B02512,2015-01-07,231,1224
B02512,2015-01-08,230,952
B02512,2015-01-09,204,1451
B02512,2015-01-10,194,1633
B02512,2015-01-11,178,1712
B02512,2015-01-12,186,1807
B02598,2015-01-06,153,804
B02598,2015-01-07,165,857
B02598,2015-01-08,160,936
B02598,2015-01-09,188,1029
B02598,2015-01-10,185,1125
B02598,2015-01-11,200,1177
B02598,2015-01-12,200,1310
B02617,2015-01-06,104,480
B02617,2015-01-07,105,597
B02617,2015-01-08,120,589
B02617,2015-01-09,134,621
B02617,2015-01-10,136,714
B02617,2015-01-11,152,702
B02617,2015-01-12,152,842
B02512,2015-01-13,194,1133
B02512,2015-01-14,234,1250
B02512,2015-01-15,230,981
B02512,2015-01-16,206,1507
B02512,2015-01-17,196,1590
B02512,2015-01-18,178,1687
B02512,2015-01-19,186,1751
B02598,2015-01-13,159,812
B02598,2015-01-14,155,874
B02598,2015-01-15,178,938
B02598,2015-01-16,186,955
B02598,2015-01-17,199,1143
B02598,2015-01-18,201,1166
B02598,2015-01-19,216,1346
B02617,2015-01-13,93,539
B02617,2015-01-14,112,550
B02617,2015-01-15,124,627
B02617,2015-01-16,133,667
B02617,2015-01-17,138,676
B02617,2015-01-18,157,716
B02617,2015-01-19,166,799
B02512,2015-01-20,195,1175
B02512,2015-01-21,233,1243
B02512,2015-01-22,237,988
B02512,2015-01-23,204,1522
B02512,2015-01-24,204,1633
B02512,2015-01-25,181,1684
B02512,2015-01-26,186,1786
B02598,2015-01-20,149,788
B02598,2015-01-21,168,857
B02598,2015-01-22,176,968
B02598,2015-01-23,183,1003
B02598,2015-01-24,184,1065
B02598,2015-01-25,190,1173
B02598,2015-01-26,217,1265
B02617,2015-01-20,100,450
B02617,2015-01-21,102,537
B02617,2015-01-22,114,594
B02617,2015-01-23,127,657
B02617,2015-01-24,139,691
